id,name,state,postcode,lat,lng,area,region
101,Aldavilla,NSW,2440,-31.058949,152.768142,Mid North Coast,"Hunter, Central & Northern NSW"
102,Alderley,QLD,4051,-27.424422,153.000517,City & North,Brisbane
103,Aldershot,QLD,4650,-25.466599,152.656881,Bundaberg & Wide Bay,Coastal QLD
104,Aldersyde,WA,6306,-32.374225,117.305815,East,Eastern WA
105,Aldgate,SA,5154,-35.015124,138.736185,Adelaide Hills,Adelaide
106,Aldinga Beach,SA,5173,-35.278875,138.461803,Fleurieu Peninsula,Southern SA
107,Aldinga,SA,5173,-35.267326,138.483136,Fleurieu Peninsula,Southern SA
108,Aldoga,QLD,4694,-23.835292,151.071334,Gladstone Rockhampton & Capricornia,Coastal QLD
109,Alectown,NSW,2870,-32.933075,148.257653,Central West,Regional NSW
110,Alexander Heights,WA,6064,-31.82761,115.867134,Northern Suburbs,Northern WA
111,Alexandra Bridge,WA,6288,-34.160621,115.199569,Margaret River & Surrounds,Southern WA
112,Alexandra Headland,QLD,4572,-26.670638,153.108036,Sunshine Coast,South East QLD
113,Alexandra Hills,QLD,4161,-27.522774,153.220455,Redlands City,Brisbane
114,Alexandra,QLD,4740,-21.164465,149.099609,Mackay & Whitsundays,Coastal QLD
115,Alexandra,VIC,3714,-37.191307,145.711061,Shepparton & Central North,Northern VIC
116,Alexandria,NSW,2015,-33.90822,151.191852,Eastern Suburbs,Sydney
117,Alexandria,QLD,4825,-19.086016,137.415835,Mount Isa & North West,Central & West QLD
118,Alford,SA,5555,-33.81518,137.821268,Yorke Peninsula,West Coast SA
119,Alfords Point,NSW,2234,-33.993303,151.024751,Sutherland,Sydney
120,Alfred Cove,WA,6154,-32.034236,115.808606,Southern Suburbs,Perth
121,Alfredton,VIC,3350,-37.556958,143.817225,Ballarat & Western District,South West VIC
122,Alfredtown,NSW,2650,-35.161474,147.512382,Riverina,Regional NSW
123,Algester,QLD,4115,-27.611303,153.033518,Logan,Brisbane
124,Ali Curung,NT,872,-21.00252,134.40547,Alice Springs,Northern Territory
125,Alice Creek,QLD,4610,-26.760017,151.631701,South,Central & West QLD
126,Alice River,QLD,4817,-19.32661,146.59971,Townsville & District,Coastal QLD
127,Alice Springs,NT,870,-23.700358,133.880889,Alice Springs,Northern Territory
128,Alice Springs,NT,872,-23.700358,133.880889,Alice Springs,Northern Territory
129,Alice,NSW,2460,-29.050238,152.587447,Northern Rivers,"Hunter, Central & Northern NSW"
130,Alison,NSW,2259,-33.265998,151.403858,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
131,Alison,NSW,2420,-32.434801,151.771934,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
132,Alkimos,WA,6038,-31.6145522,115.6835448,North,Northern WA
133,Allambee Reserve,VIC,3871,-38.285262,146.054894,Gippsland,South East VIC
134,Allambee South,VIC,3871,-38.343735,146.099585,Gippsland,South East VIC
135,Allambee,VIC,3823,-38.272428,146.024988,Gippsland,South East VIC
136,Allambie Heights,NSW,2100,-33.765076,151.248864,Northern Beaches,Sydney
137,Allan,QLD,4370,-28.195568,151.949533,South,Central & West QLD
138,Allandale,NSW,2320,-32.710687,151.42353,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
139,Allandale,QLD,4310,-27.997335,152.714213,Ipswich & West Moreton,South East QLD
140,Allanooka,WA,6525,-29.047262,115.029078,North,Northern WA
141,Allans Flat,VIC,3691,-36.276114,146.909823,North Eastern,Northern VIC
142,Allansford,VIC,3277,-38.386474,142.590674,Great Ocean Rd / Otway Ranges,South West VIC
143,Allanson,WA,6225,-33.337529,116.098061,South,Southern WA
144,Allawah,NSW,2218,-33.970018,151.114517,St George,Sydney
145,Alleena,NSW,2671,-34.109459,147.140966,Riverina,Regional NSW
146,Allenby Gardens,SA,5009,-34.904334,138.555148,Western & Beachside Suburbs,Adelaide
147,Allendale East,SA,5291,-38.003369,140.70894,South East,Southern SA
148,Allendale North,SA,5373,-34.303983,138.917658,Barossa Valley,Mid North SA
149,Allendale,VIC,3364,-37.368711,143.938548,Ballarat & Western District,South West VIC
150,Allens Rivulet,TAS,7150,-43.01068,147.204063,Hobart & Southern,Tasmania
151,Allenstown,QLD,4700,-23.388939,150.502867,Gladstone Rockhampton & Capricornia,Coastal QLD
152,Allenview,QLD,4285,-27.901257,152.939081,South,Central & West QLD
153,Allestree,VIC,3305,-38.274855,141.646078,Great Ocean Rd / Otway Ranges,South West VIC
154,Allgomera,NSW,2441,-30.816097,152.831369,Mid North Coast,"Hunter, Central & Northern NSW"
